section,benchmark,checkpoint,comparison,metric,n,estimate,ci_low,ci_high,excluded_high_overlap_fraction,max_retained_overlap
comparison,mmlu_fixed500,,no_skill-base,score,500,0.006,-0.01,0.022,,
comparison,mmlu_fixed500,,with_skill-base,score,500,0.01,-0.006,0.026,,
comparison,tool_restraint:irrelevant_tools,,with_skill-no_skill,score,120,0.025,0.0,0.058333333333333334,,
comparison,tool_restraint:irrelevant_tools,,no_skill-base,score,120,-0.016666666666666666,-0.058333333333333334,0.025,,
comparison,tool_restraint:irrelevant_tools,,with_skill-base,score,120,0.008333333333333333,-0.025,0.05,,
comparison,tool_restraint:no_tools,,with_skill-no_skill,score,120,-0.008333333333333333,-0.025,0.0,,
comparison,tool_restraint:no_tools,,no_skill-base,score,120,-0.008333333333333333,-0.025,0.0,,
comparison,tool_restraint:no_tools,,with_skill-base,score,120,-0.016666666666666666,-0.041666666666666664,0.0,,
overlap_sensitivity,,,with_skill-no_skill,score,3471,-0.00432152117545376,-0.012100259291270527,0.003745318352059925,0.0,0.0
overlap_sensitivity,,,with_skill-no_skill,score,3124,-0.005441741357234315,-0.014084507042253521,0.0035211267605633804,0.1,0.0
overlap_sensitivity,,,with_skill-no_skill,score,2777,-0.0068419157364061935,-0.016564638098667626,0.0028808066258552397,0.2,0.0
overlap_sensitivity,,,with_skill-no_skill,score,2430,-0.009876543209876543,-0.020164609053497942,0.00041152263374485596,0.3,0.0
overlap_sensitivity,,,with_skill-no_skill,score,2083,-0.009601536245799328,-0.020643302928468554,0.0014522323571769737,0.4,0.0
overlap_sensitivity,,,with_skill-no_skill,score,1736,-0.012672811059907835,-0.025921658986175114,0.0,0.5,0.0
overlap_sensitivity,,,no_skill-base,score,3471,-0.008066839527513685,-0.016709881878421203,0.000864304235090752,0.0,0.0
overlap_sensitivity,,,no_skill-base,score,3124,-0.008002560819462228,-0.017285531370038413,0.0016005121638924455,0.1,0.0
overlap_sensitivity,,,no_skill-base,score,2777,-0.009722722362261434,-0.01980554555275477,0.0007202016564638099,0.2,0.0
overlap_sensitivity,,,no_skill-base,score,2430,-0.010699588477366255,-0.02139917695473251,0.00041152263374485596,0.3,0.0
overlap_sensitivity,,,no_skill-base,score,2083,-0.01344215074411906,-0.025444071051368217,-0.0009601536245799327,0.4,0.0
overlap_sensitivity,,,no_skill-base,score,1736,-0.012096774193548387,-0.025921658986175114,0.0017281105990783411,0.5,0.0
overlap_sensitivity,,,with_skill-base,score,3471,-0.012388360702967444,-0.020743301642178046,-0.003745318352059925,0.0,0.0
overlap_sensitivity,,,with_skill-base,score,3124,-0.013444302176696543,-0.022727272727272728,-0.0038412291933418692,0.1,0.0
overlap_sensitivity,,,with_skill-base,score,2777,-0.016564638098667626,-0.026647461289160967,-0.006121714079942384,0.2,0.0
overlap_sensitivity,,,with_skill-base,score,2430,-0.0205761316872428,-0.031275720164609055,-0.009465020576131687,0.3,0.0
overlap_sensitivity,,,with_skill-base,score,2083,-0.023043686989918388,-0.03456553048487758,-0.011521843494959194,0.4,0.0
overlap_sensitivity,,,with_skill-base,score,1736,-0.02476958525345622,-0.038018433179723504,-0.01152073732718894,0.5,0.0
preservation_delta,,,with_skill-no_skill,exact_accuracy,240,0.008333333333333333,-0.008333333333333333,0.025,,
preservation_delta,,,no_skill-base,exact_accuracy,240,-0.0125,-0.03333333333333333,0.008333333333333333,,
preservation_delta,,,with_skill-base,exact_accuracy,240,-0.004166666666666667,-0.025,0.016666666666666666,,
preservation_delta,,,with_skill-no_skill,unnecessary_tool_call,240,0.0,0.0,0.0,,
preservation_delta,,,no_skill-base,unnecessary_tool_call,240,0.0,0.0,0.0,,
preservation_delta,,,with_skill-base,unnecessary_tool_call,240,0.0,0.0,0.0,,
preservation_delta,,,with_skill-no_skill,answer_tokens,240,-0.004166666666666667,-0.0125,0.0,,
preservation_delta,,,no_skill-base,answer_tokens,240,-0.058333333333333334,-0.14583333333333334,0.0,,
preservation_delta,,,with_skill-base,answer_tokens,240,-0.0625,-0.15416666666666667,0.0,,
preservation_delta,,,with_skill-no_skill,hidden_thinking_tokens,240,0.0,0.0,0.0,,
preservation_delta,,,no_skill-base,hidden_thinking_tokens,240,0.0,0.0,0.0,,
preservation_delta,,,with_skill-base,hidden_thinking_tokens,240,0.0,0.0,0.0,,
preservation_delta,,,with_skill-no_skill,turns,240,0.0,0.0,0.0,,
preservation_delta,,,no_skill-base,turns,240,0.0,0.0,0.0,,
preservation_delta,,,with_skill-base,turns,240,0.0,0.0,0.0,,
preservation_delta,,,with_skill-no_skill,latency,240,0.07405597180000119,0.05660317690468875,0.09364148318677112,,
preservation_delta,,,no_skill-base,latency,240,-0.01822127856249966,-0.03549741233562335,-0.00244740744729176,,
preservation_delta,,,with_skill-base,latency,240,0.05583469323750154,0.0388084562369809,0.07312966153989534,,
